Melrose,3
Mott Haven,3
Port Morris,3
Hunts Point,3
Longwood,3
Claremont,3
Concourse Village,3
Crotona Park,3
Morrisania,3
Concourse,3
High Bridge,3
Fordham,3
Morris Heights,3
Mount Hope,3
University Heights,3
Bathgate,3
Belmont,3
East Tremont,3
West Farms,3
Bedford Park,3
Norwood,3
Fieldston,3
Kingsbridge,3
Kingsbridge Heights,3
Marble Hill,3
Riverdale,3
Spuyten Duyvil,3
Van Cortlandt Village,3
Bronx River,3
Bruckner,3
Castle Hill,3
Clason Point,3
Harding Park,3
Parkchester,3
Soundview,3
Unionport,3
City Island,3
Co-op City,3
Locust Point,3
Pelham Bay,3
Silver Beach,3
Throgs Neck,3
Westchester Square,3
Allerton,3
Bronxdale,3
Indian Village,3
Laconia,3
Morris Park,3
Pelham Gardens,3
Pelham Parkway,3
Van Nest,3
Baychester,3
Edenwald,3
Eastchester,3
Fish Bay,3
Olinville,3
Wakefield,3
Williamsbridge,3
Woodlawn,3
Greenpoint,1
Williamsburg,1
Boerum Hill,1
Brooklyn Heights,1
Brooklyn Navy Yard,1
Clinton Hill,1
DUMBO,1
Fort Greene,1
Fulton Ferry,1
Fulton Mall,1
Vinegar Hill,1
Bedford Stuyvesant,1
Ocean Hill,1
Stuyvesant Heights,1
Bushwick,1
City Line,1
Cypress Hills,1
East New York,1
Highland Park,1
New Lots,1
Starrett City,1
Carroll Gardens,1
Cobble Hill,1
Gowanus,1
Park Slope,1
Red Hook,1
Greenwood Heights,1
Sunset Park,1
Windsor Terrace,1
Crown Heights,1
Prospect Heights,1
Weeksville,1
Crown Heights,1
Prospect Lefferts Gardens,1
Wingate,1
Bay Ridge,1
Dyker Heights,1
Fort Hamilton,1
Bath Beach,1
Bensonhurst,1
Gravesend,1
Mapleton,1
Borough Park,1
Kensington,1
Midwood,1
Ocean Parkway,1
Bensonhurst,1
Brighton Beach,1
Coney Island,1
Gravesend,1
Sea Gate,1
Flatbush,1
Kensington,1
Midwood,1
Ocean Parkway,1
East Gravesend,1
Gerritsen Beach,1
Homecrest,1
Kings Bay,1
Kings Highway,1
Madison,1
Manhattan Beach,1
Plum Beach,1
Sheepshead Bay,1
Brownsville,1
Ocean Hill,1
Ditmas Village,1
East Flatbush,1
Erasmus,1
Farragut,1
Remsen Village,1
Rugby,1
Bergen Beach,1
Canarsie,1
Flatlands,1
Georgetown,1
Marine Park,1
Mill Basin,1
Mill Island,1
Battery Park City,0
Financial District,0
TriBeCa,0
Chinatown,0
Greenwich Village,0
Little Italy,0
Lower East Side,0
NoHo,0
SoHo,0
West Village,0
Alphabet City,0
Chinatown,0
East Village,0
Lower East Side,0
Two Bridges,0
Chelsea,0
Clinton,0
Midtown,0
Gramercy Park,0
Kips Bay,0
Murray Hill,0
Peter Cooper Village,0
Stuyvesant Town,0
Sutton Place,0
Tudor City,0
Turtle Bay,0
Waterside Plaza,0
Lincoln Square,0
Manhattan Valley,0
Upper West Side,0
Lenox Hill,0
Roosevelt Island,0
Upper East Side,0
Yorkville,0
Hamilton Heights,0
Manhattanville,0
Morningside Heights,0
Harlem,0
Polo Grounds,0
East Harlem,0
Randallês Island,0
Spanish Harlem,0
Wards Island,0
Inwood,0
Washington Heights,0
Astoria,2
Ditmars,2
Garden Bay,2
Long Island City,2
Old Astoria,2
Queensbridge,2
Ravenswood,2
Steinway,2
Woodside,2
Hunters Point,2
Long Island City,2
Sunnyside,2
Woodside,2
East Elmhurst,2
Jackson Heights,2
North Corona,2
Corona,2
Elmhurst,2
Roosevelt Avenue,2
Fresh Pond,2
Glendale,2
Maspeth,2
Middle Village,2
Liberty Park,2
Ridgewood,2
Forest Hills,2
Rego Park,2
Bay Terrace,2
Beechhurst,2
College Point,2
Flushing,2
Linden Hill,2
Malba,2
Queensboro Hill,2
Whitestone,2
Willets Point,2
Briarwood,2
Cunningham Heights,2
Flushing South,2
Fresh Meadows,2
Hilltop,2
Village,2
Holliswood,2
Jamaica Estates,2
Kew Gardens Hills,2
Pomonok Houses,2
Utopia,2
Kew Gardens,2
Ozone Park,2
Richmond Hill,2
Woodhaven,2
Howard Beach,2
Lindenwood,2
Richmond Hill,2
South Ozone Park,2
Tudor Village,2
Auburndale,2
Bayside,2
Douglaston,2
East Flushing,2
Hollis Hills,2
Little Neck,2
Oakland Gardens,2
Baisley Park,2
Jamaica,2
Hollis,2
Rochdale Village,2
St. Albans,2
South Jamaica,2
Springfield Gardens,2
Bellerose,2
Brookville,2
Cambria Heights,2
Floral Park,2
Glen Oaks,2
Laurelton,2
Meadowmere,2
New Hyde Park,2
Queens Village,2
Rosedale,2
Arverne,2
Bayswater,2
Belle Harbor,2
Breezy Point,2
Edgemere,2
Far Rockaway,2
Neponsit,2
Rockaway Park,2
Arlington,4
Castleton Corners,4
Clifton,4
Concord,4
Elm Park,4
Fort Wadsworth,4
Graniteville,4
Grymes Hill,4
Livingston,4
Mariners Harbor,4
Meiers Corners,4
New Brighton,4
Port Ivory,4
Port Richmond,4
Randall Manor,4
Rosebank,4
St. George,4
Shore Acres,4
Silver Lake,4
Stapleton,4
Sunnyside,4
Tompkinsville,4
West Brighton,4
Westerleigh,4
Arrochar,4
Bloomfield,4
Bulls Head,4
Chelsea,4
Dongan Hills,4
Egbertville,4
Emerson Hill,4
Grant City,4
Grasmere,4
Midland Beach,4
New Dorp,4
New Springville,4
Oakwood,4
Ocean Breeze,4
Old Town,4
South Beach,4
Todt Hill,4
Travis,4
Annadale,4
Arden Heights,4
Bay Terrace,4
Charleston,4
Eltingville,4
Great Kills,4
Greenridge,4
Huguenot,4
Pleasant Plains,4
Prince's Bay,4
Richmond Valley,4
Rossville,4
Tottenville,4
Woodrow,4
